,MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG,follower_score,interaction,int_pct,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
96,199,1018,yooncarp,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CFMlJETlS_H/,2020-09-16,2020-09-22,53130,1370,40,0,2020-08-18 01:10:48,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/119539168_937105246776665_6993923193904349726_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=WNXgZIx6ttIAX-amQUY&_nc_tp=15&oh=a3d9fbac7ece3e1af4564dd60d888939&oe=5F96FE63,20,1410,0.6428571428571429,15,-6 days +00:00:00.000000000,1.0,,,,D
97,199,1008,hyun4good,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEftuNJFJL6/,2020-08-30,2020-09-22,23093,441,10,0,2020-08-18 01:10:56,,,,,10,451,0.17857142857142858,1,-23 days +00:00:00.000000000,1.0,,,,D
99,199,808,mingso0,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEaxcdQjfTL/,2020-08-28,2020-09-22,45999,1106,31,0,2020-08-18 01:11:12,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/118591863_131863328618282_2945274719442670040_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=vhkvCb29gHkAX-89Kw_&_nc_tp=19&oh=cdac7567f815522e72437faac28bd0c5&oe=5F97AF5F,15,1137,0.5892857142857143,10,-25 days +00:00:00.000000000,1.0,10.0,20.0,55.0,B
100,199,806,byeongyunsss,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEPFaVyhsXW/,2020-08-23,2020-09-22,23245,1014,62,0,2020-08-18 01:11:21,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/118236135_298754891421946_9024086661308132387_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=tL9RPR08GToAX8lMlY2&_nc_tp=15&oh=1b0a91738d49eb313031c0a2042958a1&oe=5F979BE4,10,1076,0.48214285714285715,10,-30 days +00:00:00.000000000,1.0,,,,D
101,199,805,hit_taek,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEinX1spNXA/,2020-08-31,2020-09-22,62355,1062,6,0,2020-08-18 01:11:28,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/118554008_190479652449581_1869963335273415227_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=BQr-bVSzuHgAX_D_uTd&_nc_tp=15&oh=afa3ba26ced7d54d8b27ea9af74776d2&oe=5F97981C,20,1068,0.4642857142857143,10,-22 days +00:00:00.000000000,1.0,10.0,20.0,60.0,B
110,200,521,__yhho,Y,93.0,"31JPF3061_07U,31JPF3061_07U",https://www.instagram.com/p/CEjkEfsFVRh/,2020-09-04,2020-10-06,118774,8408,105,0,2020-08-18 01:23:07,,40.0,,,25,8513,0.9821428571428571,20,-32 days +00:00:00.000000000,1.0,,20.0,,D
111,200,1962,_b_o_eun,Y,93.0,"31JPF1061_43K,31JPF1061_43K",https://www.instagram.com/p/CEN92I3HxBU/,2020-08-23,2020-10-06,1214,143,4,0,2020-08-18 01:23:22,,40.0,20.0,,5,147,0.017857142857142856,1,-44 days +00:00:00.000000000,1.0,10.0,20.0,36.0,C
112,200,1963,_ssunghho,Y,93.0,"31JPF3061_50I,31JPF3061_50I",https://www.instagram.com/p/CEgv7NBDJrB/,2020-08-30,2020-10-06,11082,648,100,0,2020-08-18 01:23:31,,40.0,20.0,,10,748,0.32142857142857145,5,-37 days +00:00:00.000000000,1.0,10.0,20.0,45.0,C
113,200,1964,nasajji.hi,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEOy67zlBZB/,2020-08-23,2020-10-06,8429,272,75,0,2020-08-18 01:23:39,,40.0,20.0,,5,347,0.125,1,-44 days +00:00:00.000000000,1.0,10.0,20.0,36.0,C
114,200,1965,___yunh,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEOi-3vHajI/,2020-08-23,2020-10-06,6109,265,14,0,2020-08-18 01:23:49,,,,,5,279,0.08928571428571429,1,-44 days +00:00:00.000000000,1.0,,,,D
115,200,1966,hello_whyy,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEVuM-QD22L/,2020-08-26,2020-10-06,74668,677,5,0,2020-08-18 01:23:57,,40.0,20.0,,20,682,0.30357142857142855,5,-41 days +00:00:00.000000000,1.0,10.0,20.0,55.0,B
116,200,1967,bb_stg,Y,93.0,"31JPF2061_50I,31JPF2061_07K",https://www.instagram.com/p/CEQVVO-jXqU/?utm_source=ig_web_copy_link,2020-09-23,2020-10-06,10409,600,15,0,2020-08-18 01:24:05,,30.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120026270_184734126391442_472672945837036483_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=L_G_iqB0--AAX-O1zHF&_nc_tp=19&oh=a46cf7f272b733f8071497ba742bcf25&oe=5FA91390,10,615,0.26785714285714285,5,-13 days +00:00:00.000000000,1.0,10.0,15.0,40.0,C
